asset_type,asset_type_category,asset_type_category_raf_reviewed,asset_gics_industry,industry_code
Environment renewable natural resources,Agricultural & Food Production,Other (20km buffer area of influence),?,
Garden,Agricultural & Food Production,,?,
Aerated drinks supplier,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Alcohol manufacturer,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Beverage supplier,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Beverages,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Bottled water supplier,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Brewery,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Distillery,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Mineral water company,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Sake brewery,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Tea manufacturer,Agricultural & Food Production,Agricultural & Food Production,Beverages,302010
Winery,Agricultural & Food Production,,Beverages,302010
Agricultural service,Agricultural & Food Production,Agricultural & Food Production,Commercial Services & Supplies,202010
Flavours fragrances and aroma supplier,Agricultural & Food Production,Agricultural & Food Production,Consumer Staples Distribution & Retail,301010
Frozen dessert supplier,Agricultural & Food Production,Agricultural & Food Production,Consumer Staples Distribution & Retail,301010
Agricultural,Agricultural & Food Production,,Food Products,302020
Agricultural cooperative,Agricultural & Food Production,,Food Products,302020
agricultural organisation,Agricultural & Food Production,,Food Products,302020
Agricultural organization,Agricultural & Food Production,,Food Products,302020
Agricultural production,Agricultural & Food Production,,Food Products,302020
"Agricultural service, Service establishment",Agricultural & Food Production,,Food Products,302020
Agriculture,Agricultural & Food Production,,Food Products,302020
Aquaculture farm,Agricultural & Food Production,,Food Products,302020
Cannery,Agricultural & Food Production,,Food Products,302020
Cattle farm,Agricultural & Food Production,,Food Products,302020
Cattle Feedlot,Agricultural & Food Production,,Food Products,302020
Cheese manufacturer,Agricultural & Food Production,,Food Products,302020
chicken hatchery,Agricultural & Food Production,,Food Products,302020
Chocolate factory,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
"Chocolate factory, Food manufacturing supply",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
coffee roasters,Agricultural & Food Production,,Food Products,302020
Crop grower,Agricultural & Food Production,,Food Products,302020
Dairy,Agricultural & Food Production,,Food Products,302020
Dairy farm,Agricultural & Food Production,,Food Products,302020
Dairy supplier,Agricultural & Food Production,,Food Products,302020
"enteric-fermentation-cattle-feedlot,manure-management-cattle-feedlot",Agricultural & Food Production,,Food Products,302020
Farm,Agricultural & Food Production,,Food Products,302020
Farming and cattle raising,Agricultural & Food Production,,Food Products,302020
Feed manufacturer,Agricultural & Food Production,,Food Products,302020
Fish farm,Agricultural & Food Production,,Food Products,302020
Fish industry,Agricultural & Food Production,,Food Products,302020
Fish processing,Agricultural & Food Production,,Food Products,302020
Flour mill,Agricultural & Food Production,,Food Products,302020
Food,Agricultural & Food Production,,Food Products,302020
Food industry,Agricultural & Food Production,,Food Products,302020
Food manufacturer,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
"Food manufacturer, Marketing consultant",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Food manufacturing supply,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Food processing company,Agricultural & Food Production,,Food Products,302020
"Food processing company, Food service",Agricultural & Food Production,,Food Products,302020
Food producer,Agricultural & Food Production,,Food Products,302020
food production,Agricultural & Food Production,,Food Products,302020
Food products supplier,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
"Food products supplier, Manufacturer",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Food seasoning manufacturer,Agricultural & Food Production,,Food Products,302020
Frozen food manufacturer,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Fruit and vegetable processing,Agricultural & Food Production,,Food Products,302020
Greenhouse,Agricultural & Food Production,,Food Products,302020
horse breeder,Agricultural & Food Production,,Food Products,302020
Livestock breeder,Agricultural & Food Production,,Food Products,302020
livestock producer,Agricultural & Food Production,,Food Products,302020
"Manufacturer, Food products supplier",Agricultural & Food Production,,Food Products,302020
"Manufacturer, Meat processor",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
Meat packer,Agricultural & Food Production,,Food Products,302020
Meat processor,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
olive oil bottling company,Agricultural & Food Production,,Food Products,302020
"Organic farm, Service establishment",Agricultural & Food Production,,Food Products,302020
Organic Operation,Agricultural & Food Production,,Food Products,302020
pet food and animal feeds,Agricultural & Food Production,,Food Products,302020
Poultry farm,Agricultural & Food Production,,Food Products,302020
Ranch,Agricultural & Food Production,,Food Products,302020
Rice mill,Agricultural & Food Production,,Food Products,302020
Seafood farm,Agricultural & Food Production,,Food Products,302020
Seed supplier,Agricultural & Food Production,,Food Products,302020
Slaughterhouse,Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
"Slaughterhouse, Manufacturer, Meat packer",Agricultural & Food Production,Agricultural & Food Production,Food Products,302020
sod supplier,Agricultural & Food Production,,Food Products,302020
staple food package,Agricultural & Food Production,,Food Products,302020
Sugar factory,Agricultural & Food Production,,Food Products,302020
tree farm,Agricultural & Food Production,,Food Products,302020
vineyard,Agricultural & Food Production,,Food Products,302020
Dude ranch,Agricultural & Food Production,Agricultural & Food Production,"Hotels, Restaurants & Leisure",253010
Forestry service,Agricultural & Food Production,,Paper & Forest Products,151050
Logging contractor,Agricultural & Food Production,Agricultural & Food Production,Paper & Forest Products,151050
Cotton mill,Agricultural & Food Production,Agricultural & Food Production,"Textiles, Apparel & Luxury Goods",252030
electric utility company,Electricity Distribution,,Electric Utilities,551010
Electric vehicle charging station,Electricity Distribution,,Electric Utilities,551010
Electric vehicle charging station contractor,Electricity Distribution,,Electric Utilities,551010
Electrical substation,Electricity Distribution,,Electric Utilities,551010
electricity board,Electricity Distribution,,Electric Utilities,551010
Distribution Service,Transportation and Logistics Facility,,Distributors,255010
River,Energy Production,Other (20km buffer area of influence),?,
electricity-generation,Energy Production,,Electric Utilities,551010
Energy supplier,Energy Production,Energy Production,Electric Utilities,551010
Nuclear Plant,Energy Production,,Electric Utilities,551010
Nuclear power plant,Energy Production,,Electric Utilities,551010
nuclear_power,Energy Production,,Electric Utilities,551010
Power Plant,Energy Production,,Electric Utilities,551010
Power station,Energy Production,,Electric Utilities,551010
power_plants,Energy Production,,Electric Utilities,551010
Thermal power plant,Energy Production,,Electric Utilities,551010
Industrial gas supplier,Energy Production,Energy Production,Gas Utilities,551020
bioenergy,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Bioenergy Plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Geothermal Plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
geothermal_high,Energy Production,,Independent Power and Renewable Electricity Producers,551050
geothermal_low,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Green energy supplier,Energy Production,,Independent Power and Renewable Electricity Producers,551050
heat plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
hydro_power_high,Energy Production,,Independent Power and Renewable Electricity Producers,551050
hydro_power_low,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Hydroelectric power plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Hydropower Plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Solar Farm,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Solar photovoltaic power plant,Energy Production,,Independent Power and Renewable Electricity Producers,551050
solar_high_capacity,Energy Production,,Independent Power and Renewable Electricity Producers,551050
solar_low_capacity,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Wind farm,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Wind Farm,Energy Production,,Independent Power and Renewable Electricity Producers,551050
wind_power_high,Energy Production,,Independent Power and Renewable Electricity Producers,551050
wind_power_low,Energy Production,,Independent Power and Renewable Electricity Producers,551050
Coal Plant,Energy Production,,"Oil, Gas & Consumable Fuels",101020
coal_emissions,Energy Production,,"Oil, Gas & Consumable Fuels",101020
water-reservoirs,Energy Production,,Water Utilities,551040
Stadium,Heavy Industrial & Manufacturing,Other (5km buffer area of influence),?,
Aerospace company,Heavy Industrial & Manufacturing,,Aerospace & Defense,201010
Aircraft maintenance company,Heavy Industrial & Manufacturing,,Aerospace & Defense,201010
Aircraft manufacturer,Heavy Industrial & Manufacturing,,Aerospace & Defense,201010
Ammunition supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Aerospace & Defense,201010
Auto air conditioning service,Heavy Industrial & Manufacturing,,Automobile Components,251010
Auto body parts supplier,Heavy Industrial & Manufacturing,,Automobile Components,251010
Auto parts manufacturer,Heavy Industrial & Manufacturing,,Automobile Components,251010
Auto wrecker,Heavy Industrial & Manufacturing,,Automobile Components,251010
Truck parts supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Automobile Components,251010
Truck topper supplier,Heavy Industrial & Manufacturing,,Automobile Components,251010
Tyre manufacturer,Heavy Industrial & Manufacturing,,Automobile Components,251010
Automative,Heavy Industrial & Manufacturing,,Automobiles,251020
Automotive,Heavy Industrial & Manufacturing,,Automobiles,251020
Car factory,Heavy Industrial & Manufacturing,,Automobiles,251020
Car manufacturer,Heavy Industrial & Manufacturing,,Automobiles,251020
Trailer manufacturer,Heavy Industrial & Manufacturing,,Automobiles,251020
Air conditioning contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Door supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Finishing materials supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Garage door supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Gypsum product supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Heating equipment supplier,Heavy Industrial & Manufacturing,,Building Products,201020
Lighting manufacturer,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Paving materials supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Pipe supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Screw supplier,Heavy Industrial & Manufacturing,,Building Products,201020
Water pump supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Wood and laminate flooring supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Building Products,201020
Agrochemicals supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Chemicals,151010
chemical exporter,Heavy Industrial & Manufacturing,,Chemicals,151010
Chemical industry,Heavy Industrial & Manufacturing,,Chemicals,151010
Chemical manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
chemical manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
Chemical plant,Heavy Industrial & Manufacturing,,Chemicals,151010
"Fertiliser Supplier, Agricultural product wholesaler, Agrochemicals supplier",Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Chemicals,151010
Fertilizer supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Chemicals,151010
Foam rubber producer,Heavy Industrial & Manufacturing,,Chemicals,151010
Foam rubber supplier,Heavy Industrial & Manufacturing,,Chemicals,151010
Match box manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
Paint manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
petrochemical engineering service,Heavy Industrial & Manufacturing,,Chemicals,151010
Petrochemical Plant,Heavy Industrial & Manufacturing,,Chemicals,151010
petrochemicals,Heavy Industrial & Manufacturing,,Chemicals,151010
Plastic resin manufacturer,Heavy Industrial & Manufacturing,,Chemicals,151010
Polymer supplier,Heavy Industrial & Manufacturing,,Chemicals,151010
PVC industry,Heavy Industrial & Manufacturing,,Chemicals,151010
Rubber products supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Chemicals,151010
Wax supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Chemicals,151010
Abrasives supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
adhesives and glue supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Air compressor repair service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
biochemical supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Blacksmith,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Boat builders,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Building equipment hire service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
chemical engineering service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Construction machine dealer,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Commercial Services & Supplies,202010
Crane service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
demolition contractor,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Electric motor repair shop,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Engine rebuilding service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Engraver,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Fire alarm supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Commercial Services & Supplies,202010
Fire protection equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Commercial Services & Supplies,202010
Garbage dump,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Garbage dump service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
General contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Commercial Services & Supplies,202010
Hose supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
laminating equipment supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
line marking service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
locks supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
masonry contractor,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Mechanic,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Metal stamping service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Mold maker,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Office equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Commercial Services & Supplies,202010
pottery manufacturer,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Powder coating service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Promotional products supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Commercial Services & Supplies,202010
rainwater tank supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Recycling center,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
recycling centre,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Recycling drop-off location,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Road construction machine repair service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
rolled metal products supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Safety equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Commercial Services & Supplies,202010
Salvage yard,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Security system supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
sewing company,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Shipbuilding and repair company,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Shipyard,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Solid Waste Disposal,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
solid-waste-disposal,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
superfund site,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Tool repair shop,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Tractor repair shop,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
truss manufacturer,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Turnery,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
vacuum cleaning system supplier,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Vending machine supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Commercial Services & Supplies,202010
Waste management service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Waste-Management Service,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Welder,Heavy Industrial & Manufacturing,,Commercial Services & Supplies,202010
Fiber optic products supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Communications Equipment,452010
Telecommunications equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Communications Equipment,452010
Asphalt contractor,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Construction machine rental service,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Drainage service,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Drilling contractor,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Excavating contractor,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Flooring contractor,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Heating contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Construction & Engineering,201030
HVAC contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Construction & Engineering,201030
Interior construction contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Construction & Engineering,201030
Mechanical contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Construction & Engineering,201030
Mechanical Engineering,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Paving contractor,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Road construction company,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Roofing contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Construction & Engineering,201030
Sheet metal contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Construction & Engineering,201030
Steel construction company,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Steel framework contractor,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Swimming pool contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Construction & Engineering,201030
Well drilling contractor,Heavy Industrial & Manufacturing,,Construction & Engineering,201030
Air conditioning system supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Aluminum window,Heavy Industrial & Manufacturing,,Construction Materials,151020
Asphalt mixing plant,Heavy Industrial & Manufacturing,,Construction Materials,151020
Brick manufacturer,Heavy Industrial & Manufacturing,,Construction Materials,151020
Building materials supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
cement,Heavy Industrial & Manufacturing,,Construction Materials,151020
Cement manufacturer,Heavy Industrial & Manufacturing,,Construction Materials,151020
Cement Manufacturer,Heavy Industrial & Manufacturing,,Construction Materials,151020
Cement Plant,Heavy Industrial & Manufacturing,,Construction Materials,151020
Cement supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Ceramic manufacturer,Heavy Industrial & Manufacturing,,Construction Materials,151020
Concrete contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Construction Materials,151020
Concrete factory,Heavy Industrial & Manufacturing,,Construction Materials,151020
Concrete product supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Door manufacturer,Heavy Industrial & Manufacturing,,Construction Materials,151020
Fiberglass supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Fire protection system supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Glass block supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Glass industry,Heavy Industrial & Manufacturing,,Construction Materials,151020
Glass manufacturer,Heavy Industrial & Manufacturing,,Construction Materials,151020
Granite supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Construction Materials,151020
Insulator supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Metal construction company,Heavy Industrial & Manufacturing,,Construction Materials,151020
Patio enclosure supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Ready mix concrete supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Ready-Mix Concrete Supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Sanitary ware manufacturer and supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Stone cutter,Heavy Industrial & Manufacturing,,Construction Materials,151020
stone supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Sunblind supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Tile manufacturer,Heavy Industrial & Manufacturing,,Construction Materials,151020
Window supplier,Heavy Industrial & Manufacturing,,Construction Materials,151020
Container supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Containers & Packaging,151030
containers supplier,Heavy Industrial & Manufacturing,,Containers & Packaging,151030
Cork products manufacturer,Heavy Industrial & Manufacturing,,Containers & Packaging,151030
Packaging company,Heavy Industrial & Manufacturing,,Containers & Packaging,151030
packaging contractors and services,Heavy Industrial & Manufacturing,,Containers & Packaging,151030
plastic,Heavy Industrial & Manufacturing,,Containers & Packaging,151030
Plastic bag supplier,Heavy Industrial & Manufacturing,,Containers & Packaging,151030
Plastic injection molding service,Heavy Industrial & Manufacturing,,Containers & Packaging,151030
Plastic products supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Containers & Packaging,151030
plastic supplier,Heavy Industrial & Manufacturing,,Containers & Packaging,151030
Auto restoration service,Heavy Industrial & Manufacturing,,Diversified Consumer Services,253020
Small engine repair service,Heavy Industrial & Manufacturing,,Diversified Consumer Services,253020
Cable company,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Diversified Telecommunication Services,501010
Telecommunications contractor,Heavy Industrial & Manufacturing,,Diversified Telecommunication Services,501010
digital printer,Heavy Industrial & Manufacturing,,Electrical Equipment,201040
dynamometer supplier,Heavy Industrial & Manufacturing,,Electrical Equipment,201040
Electrical equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Electrical Equipment,201040
Insulation contractor,Heavy Industrial & Manufacturing,,Electrical Equipment,201040
Electronic parts supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,"Electronic Equipment, Instruments & Components",452030
Electronics company,Heavy Industrial & Manufacturing,,"Electronic Equipment, Instruments & Components",452030
electronics company,Heavy Industrial & Manufacturing,,"Electronic Equipment, Instruments & Components",452030
Electronics manufacturer,Heavy Industrial & Manufacturing,,"Electronic Equipment, Instruments & Components",452030
GPS supplier,Heavy Industrial & Manufacturing,,"Electronic Equipment, Instruments & Components",452030
Optical products manufacturer,Heavy Industrial & Manufacturing,,"Electronic Equipment, Instruments & Components",452030
Energy equipment and solutions,Heavy Industrial & Manufacturing,,Energy Equipment & Services,101010
Oil field equipment supplier,Heavy Industrial & Manufacturing,,Energy Equipment & Services,101010
Power plant equipment supplier,Heavy Industrial & Manufacturing,,Energy Equipment & Services,101010
Solar energy equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Energy Equipment & Services,101010
FMCG manufacturer,Heavy Industrial & Manufacturing,,Food Products,302020
Ice supplier,Heavy Industrial & Manufacturing,,Food Products,302020
Gas cylinders supplier,Heavy Industrial & Manufacturing,,Gas Utilities,551020
Welding gas supplier,Heavy Industrial & Manufacturing,,Gas Utilities,551020
Railroad contractor,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Ground Transportation,203040
Train repairing center,Heavy Industrial & Manufacturing,,Ground Transportation,203040
Contact lenses supplier,Heavy Industrial & Manufacturing,,Health Care Equipment & Supplies,351010
Diabetes equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Health Care Equipment & Supplies,351010
Hospital equipment and supplies,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Health Care Equipment & Supplies,351010
Janitorial equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Health Care Equipment & Supplies,351010
Laboratory equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Health Care Equipment & Supplies,351010
Medical equipment manufacturer,Heavy Industrial & Manufacturing,,Health Care Equipment & Supplies,351010
Medical equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Health Care Equipment & Supplies,351010
Medical technology manufacturer,Heavy Industrial & Manufacturing,,Health Care Equipment & Supplies,351010
Mobility equipment supplier,Heavy Industrial & Manufacturing,,Health Care Equipment & Supplies,351010
Oxygen equipment supplier,Heavy Industrial & Manufacturing,,Health Care Equipment & Supplies,351010
X-ray equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Health Care Equipment & Supplies,351010
Cabinet maker,Heavy Industrial & Manufacturing,,Household Durables,252010
carpet manufacturer,Heavy Industrial & Manufacturing,,Household Durables,252010
Fireplace manufacturer,Heavy Industrial & Manufacturing,,Household Durables,252010
Furniture accessories,Heavy Industrial & Manufacturing,,Household Durables,252010
Furniture maker,Heavy Industrial & Manufacturing,,Household Durables,252010
Furniture manufacturer,Heavy Industrial & Manufacturing,,Household Durables,252010
Glassware manufacturer,Heavy Industrial & Manufacturing,,Household Durables,252010
Watch manufacturer,Heavy Industrial & Manufacturing,,Household Durables,252010
Water filter supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Household Durables,252010
Water purifier supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Household Durables,252010
Beauty product supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Household Products,303010
Cleaning products supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Household Products,303010
toy and game manufacturer,Heavy Industrial & Manufacturing,,Household Products,303010
toy manufacturer,Heavy Industrial & Manufacturing,,Household Products,303010
Audio visual equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Leisure Products,252020
Musical instrument manufacturer,Heavy Industrial & Manufacturing,,Leisure Products,252020
Agricultural machinery manufacturer,Heavy Industrial & Manufacturing,,Machinery,201060
Air compressor supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Machinery,201060
Air filter supplier,Heavy Industrial & Manufacturing,,Machinery,201060
Amusement machine supplier,Heavy Industrial & Manufacturing,,Machinery,201060
Battery manufacturer,Heavy Industrial & Manufacturing,,Machinery,201060
Bearing supplier,Heavy Industrial & Manufacturing,,Machinery,201060
Blast cleaning service,Heavy Industrial & Manufacturing,,Machinery,201060
Boiler manufacturer,Heavy Industrial & Manufacturing,,Machinery,201060
Boiler supplier,Heavy Industrial & Manufacturing,,Machinery,201060
Coffee machine supplier,Heavy Industrial & Manufacturing,,Machinery,201060
Commercial refrigerator supplier,Heavy Industrial & Manufacturing,,Machinery,201060
Construction equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Machinery,201060
Crane Dealer and Manufacturer,Heavy Industrial & Manufacturing,,Machinery,201060
display stand manufacturer,Heavy Industrial & Manufacturing,,Machinery,201060
Drilling equipment supplier,Heavy Industrial & Manufacturing,,Machinery,201060
Elevator manufacturer,Heavy Industrial & Manufacturing,,Machinery,201060
Equipment supplier,Heavy Industrial & Manufacturing,,Machinery,201060
Factory,Heavy Industrial & Manufacturing,,Machinery,201060
Factory equipment supplier,Heavy Industrial & Manufacturing,,Machinery,201060
Farm equipment supplier,Heavy Industrial & Manufacturing,Heavy Industrial & Manufacturing,Machinery,201060
